Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Zoey's,4.0,"Cafe, Coffee, Continental, Italian, Chinese, Desserts, Shake, Beverages",275.0,https://www.zomato.com/bangalore/zoeys-koramangala-5th-block-bangalore/info,4.9 km,-
TBC- Sky Lounge,4.5,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages",750.0,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info,8.2 km,10% OFF
House Of Commons,4.3,"Bar Food, North Indian, Italian, Chinese, Fast Food, Continental, Beverages, Desserts",600.0,https://www.zomato.com/bangalore/house-of-commons-koramangala-5th-block-bangalore/info,4.7 km,10% OFF
JULIET,4.2,"Asian, Continental, Sushi, Thai, Japanese, Desserts",1250.0,https://www.zomato.com/bangalore/juliet-mg-road-bangalore/info,2.8 km,-
Maffei Kitchen,4.6,"Lebanese, Greek, Moroccan, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/maffei-kitchen-1-koramangala-5th-block-bangalore/info,5.1 km,-
Hashtag 88,4.3,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",600.0,https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore/info,11.6 km,15% OFF
Bamey's Gastro Bar,4.5,"Nepalese, Chinese, North Indian, Momos, Bar Food, Asian, Desserts, Tibetan",500.0,https://www.zomato.com/bangalore/bameys-gastro-bar-1-koramangala-5th-block-bangalore/info,5 km,10% OFF
Bombay Adda,4.2,"Continental, North Indian, Asian, Pizza, Fast Food, Kebab, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/info,4.6 km,10% OFF
Harley's Fine Baking,4.1,"Bakery, Sandwich, Desserts",300.0,https://www.zomato.com/bangalore/harleys-fine-baking-jp-nagar-bangalore/info,6.8 km,-
Orah Brew Garden,4.3,"Asian, Continental, Desserts, European, Modern Indian",650.0,https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore/info,14.3 km,10% OFF
1131 Bar + Kitchen By House Of Commons,4.5,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",1100.0,https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info,5.1 km,10% OFF
Inanna Tap Room,4.2,"Chinese, North Indian, Burger, Pizza, Italian, Desserts",1000.0,https://www.zomato.com/bangalore/inanna-tap-room-bannerghatta-road-bangalore/info,11 km,10% OFF
Shokudo,4.0,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean",750.0,https://www.zomato.com/bangalore/shokudo-jayanagar-bangalore/info,5.3 km,15% OFF
Masala Mandi,4.3,"North Indian, BBQ, Biryani, Desserts, Beverages, Mughlai",900.0,https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore/info,12 km,-
Ging - Royal Orchid Central,4.3,"Asian, Seafood, Desserts, Oriental",1250.0,https://www.zomato.com/bangalore/ging-royal-orchid-central-mg-road/info,2.3 km,25% OFF
Kappa Chakka Kandhari,4.4,"Kerala, South Indian, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info,4.7 km,-
K-OS TheGameBar,4.3,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food",850.0,https://www.zomato.com/bangalore/k-os-thegamebar-koramangala-7th-block-bangalore/info,4.6 km,10% OFF
Deck Of Brews,4.3,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",750.0,https://www.zomato.com/bangalore/deck-of-brews-mahadevapura-bangalore/info,11.9 km,10% OFF
Daily Sushi,4.3,"Sushi, Japanese, Korean, Asian, Beverages",475.0,https://www.zomato.com/bangalore/daily-sushi-1-indiranagar-bangalore/info,4.8 km,10% OFF
The Black Pearl,4.2,"BBQ, North Indian, Biryani",1050.0,https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore/info,11.5 km,15% OFF
The Lazy Turtle,4.1,"North Indian, Chinese, Seafood, Fast Food, Pizza, Bar Food, Desserts",600.0,https://www.zomato.com/bangalore/the-lazy-turtle-koramangala-4th-block-bangalore/info,5.3 km,-
Toscano,4.2,"Italian, Pizza, Pasta, Continental, Desserts, Steak, Seafood, Beverages",900.0,https://www.zomato.com/bangalore/toscano-church-street-bangalore/info,999 m,-
Chowman,4.5,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/info,4.6 km,-
The Fisherman's Wharf,4.1,"North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info,10.1 km,10% OFF
Mayuri,4.5,"Andhra, Biryani, North Indian, Chinese, Desserts",600.0,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore/info,6.6 km,10% OFF
The Peak,4.3,"Continental, Mangalorean",500.0,https://www.zomato.com/bangalore/the-peak-2-sahakara-nagar-bangalore/info,11.3 km,10% OFF
Burma Burma - Indiranagar,4.8,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts",900.0,https://www.zomato.com/bangalore/burma-burma-indiranagar-indiranagar-bangalore/info,5.5 km,-
Gold Rush Brews,4.4,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",950.0,https://www.zomato.com/bangalore/gold-rush-brews-kr-puram-bangalore/info,13.4 km,10% OFF
Mezera Brewery & Kitchen,New,Continental,800.0,https://www.zomato.com/bangalore/mezera-brewery-kitchen-jp-nagar-bangalore/info,7.2 km,10% OFF
Fenny's Lounge And Kitchen,4.5,"Mediterranean, Continental, Italian, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info,4.6 km,-
Umbaa Pub And Kitchen,4.5,"Bar Food, North Indian, Mughlai, Continental, Beverages",750.0,https://www.zomato.com/bangalore/umbaa-pub-and-kitchen-1-itpl-main-road-whitefield-bangalore/info,17.2 km,15% OFF
Tales Of Flamingo,4.5,"Continental, Asian, North Indian, Desserts",750.0,https://www.zomato.com/bangalore/tales-of-flamingo-bannerghatta-road-bangalore/info,9.8 km,10% OFF
Badmaash Sarjapur,4.0,"Beverages, North Indian, Desserts",1500.0,https://www.zomato.com/bangalore/badmaash-sarjapur-sarjapur-road-bangalore/info,12.2 km,-
